stimulusnumbers,correct_answer,targettype,blocktype
2,1,nontarget,pra1
4,1,nontarget,pra1
1,1,nontarget,pra1
3,,target,pra1
8,1,nontarget,pra1
5,1,nontarget,pra1
3,,target,pra1
7,1,nontarget,pra1
9,1,nontarget,pra1
6,1,nontarget,pra1
