stimulusnumbers,correct_answer,targettype,blocktype
1,1,nontarget,pra2
2,1,nontarget,pra2
4,1,nontarget,pra2
5,1,nontarget,pra2
6,1,nontarget,pra2
7,1,nontarget,pra2
8,1,nontarget,pra2
9,1,nontarget,pra2
3,,target,pra2
3,,target,pra2
